state,abbr,population,ev,ppv,strength,cat
Texas,TX,28995881,38,763049.5,0.799568885,a
Florida,FL,21477737,29,740611.6207,0.823792958,a
California,CA,39512223,55,718404.0545,0.849258344,a
North Carolina,NC,10488084,15,699205.6,0.872576875,a
New York,NY,19453561,29,670812.4483,0.909510012,b
Georgia,GA,10617423,16,663588.9375,0.919410501,b
Arizona,AZ,7278717,11,661701.5455,0.922032964,b
Virginia,VA,8535519,13,656578.3846,0.929227419,b
Ohio,OH,11689100,18,649394.4444,0.939507017,b
Pennsylvania,PA,12801989,20,640099.45,0.953149761,c
Colorado,CO,5758736,9,639859.5556,0.953507113,c
Washington,WA,7614893,12,634574.4167,0.961448526,c
New Jersey,NJ,8882190,14,634442.1429,0.961648977,c
Illinois,IL,12671821,20,633591.05,0.962940745,c
Massachusetts,MA,6892503,11,626591.1818,0.973698091,c
Michigan,MI,9986857,16,624178.5625,0.977461698,c
Tennessee,TN,6829174,11,620834,0.982727488,c
Missouri,MO,6137428,10,613742.8,0.994081947,c
Indiana,IN,6732219,11,612019.9091,0.996880377,c
Maryland,MD,6045680,10,604568,1.009167931,d
Oregon,OR,4217737,7,602533.8571,1.012574862,d
Wisconsin,WI,5822434,10,582243.4,1.047861835,d
Louisiana,LA,4648794,8,581099.25,1.049925013,d
South Carolina,SC,5148714,9,572079.3333,1.066479074,d
Oklahoma,OK,3956971,7,565281.5714,1.079303958,d
Minnesota,MN,5639632,10,563963.2,1.081827037,d
Kentucky,KY,4467673,8,558459.125,1.092489334,d
Alabama,AL,4903185,9,544798.3333,1.119883451,e
Utah,UT,3205958,6,534326.3333,1.141831498,e
Iowa,IA,3155070,6,525845,1.160248053,e
Nevada,NV,3080156,6,513359.3333,1.188467021,e
Connecticut,CT,3565287,7,509326.7143,1.197876766,e
Arkansas,AR,3017804,6,502967.3333,1.213022392,f
Mississippi,MS,2976149,6,496024.8333,1.230000187,f
Kansas,KS,2913314,6,485552.3333,1.256529102,f
Idaho,ID,1787065,4,446766.25,1.365614877,f
New Mexico,NM,2096829,5,419365.8,1.454841185,f
Nebraska,NE,1934408,5,386881.6,1.576995746,g
West Virginia,WV,1792147,5,358429.4,1.702177995,g
Montana,MT,1068778,3,356259.3333,1.712546397,g
Hawaii,HI,1415872,4,353968,1.723632186,g
New Hampshire,NH,1359711,4,339927.75,1.794824452,g
Maine,ME,1344212,4,336053,1.815519092,h
Delaware,DE,973764,3,324588,1.879646313,h
South Dakota,SD,884659,3,294886.3333,2.068968849,h
Rhode Island,RI,1059361,4,264840.25,2.303693028,h
North Dakota,ND,762062,3,254020.6667,2.401814961,h
Alaska,AK,731545,3,243848.3333,2.502008643,i
District of Columbia,DC,705749,3,235249.6667,2.593460157,i
Vermont,VT,623989,3,207996.3333,2.933275927,i
Wyoming,WY,578759,3,192919.6667,3.162511361,i