wins,year,conference,52.390625,48.328125
63,2020,east,west,east
60,2020,east,,
55,2020,east,,
51,2020,east,,
49,2020,east,,
48,2020,east,,
40,2020,east,,
37,2020,east,,
60,2020,west,,
56,2020,west,,
52,2020,west,,
50,2020,west,,
50,2020,west,,
50,2020,west,,
47,2020,west,,
38,2020,west,,
60,2019,east,,
58,2019,east,,
51,2019,east,,
49,2019,east,,
48,2019,east,,
42,2019,east,,
42,2019,east,,
41,2019,east,,
57,2019,west,,
54,2019,west,,
53,2019,west,,
53,2019,west,,
50,2019,west,,
49,2019,west,,
48,2019,west,,
48,2019,west,,
59,2018,east,,
55,2018,east,,
52,2018,east,,
50,2018,east,,
48,2018,east,,
44,2018,east,,
44,2018,east,,
43,2018,east,,
65,2018,west,,
58,2018,west,,
49,2018,west,,
48,2018,west,,
48,2018,west,,
48,2018,west,,
47,2018,west,,
47,2018,west,,
53,2017,east,,
51,2017,east,,
51,2017,east,,
49,2017,east,,
43,2017,east,,
42,2017,east,,
42,2017,east,,
41,2017,east,,
67,2017,west,,
61,2017,west,,
55,2017,west,,
51,2017,west,,
51,2017,west,,
47,2017,west,,
43,2017,west,,
41,2017,west,,
57,2016,east,,
56,2016,east,,
48,2016,east,,
48,2016,east,,
48,2016,east,,
48,2016,east,,
45,2016,east,,
44,2016,east,,
73,2016,west,,
67,2016,west,,
55,2016,west,,
53,2016,west,,
44,2016,west,,
42,2016,west,,
42,2016,west,,
41,2016,west,,
49,2015,east,,
40,2015,east,,
38,2015,east,,
53,2015,east,,
50,2015,east,,
41,2015,east,,
60,2015,east,,
46,2015,east,,
51,2015,west,,
67,2015,west,,
56,2015,west,,
56,2015,west,,
55,2015,west,,
55,2015,west,,
50,2015,west,,
45,2015,west,,
48,2014,east,,
44,2014,east,,
56,2014,east,,
48,2014,east,,
54,2014,east,,
44,2014,east,,
43,2014,east,,
38,2014,east,,
59,2014,west,,
54,2014,west,,
57,2014,west,,
51,2014,west,,
62,2014,west,,
54,2014,west,,
50,2014,west,,
49,2014,west,,
54,2013,east,,
49,2013,east,,
41,2013,east,,
49,2013,east,,
45,2013,east,,
38,2013,east,,
66,2013,east,,
44,2013,east,,
60,2013,west,,
57,2013,west,,
56,2013,west,,
47,2013,west,,
45,2013,west,,
58,2013,west,,
56,2013,west,,
45,2013,west,,