state,winner,final
Alabama,Trump,no
Alaska,None,no
Arizona,None,no
Arkansas,None,no
California,Biden,yes
Colorado,None,no
Connecticut,None,no
Delaware,None,no
District of Columbia,None,no
Florida,None,no
Georgia,None,no
Hawaii,None,no
Idaho,None,no
Illinois,None,no
Indiana,None,no
Iowa,None,no
Kansas,None,no
Kentucky,None,no
Louisiana,None,no
Maine,None,no
Maryland,None,no
Massachusetts,None,no
Michigan,None,no
Minnesota,None,no
Mississippi,None,no
Missouri,None,no
Montana,None,no
Nebraska,None,no
Nevada,None,no
New Hampshire,None,no
New Jersey,None,no
New Mexico,None,no
New York,None,no
North Carolina,None,no
North Dakota,None,no
Ohio,None,no
Oklahoma,None,no
Oregon,None,no
Pennsylvania,None,no
Rhode Island,None,no
South Carolina,None,no
South Dakota,None,no
Tennessee,None,no
Texas,None,no
Utah,None,no
Vermont,None,no
Virginia,None,no
Washington,None,no
West Virginia,None,no
Wisconsin,None,no
Wyoming,None,no